Fund Name,Asset Class,Q1 Return %,Q2 Return %,Q3 Return %,YTD Return %,AUM (Millions),Vintage Year,Geographic Focus
Global Infrastructure Fund I,Core Infrastructure,3.2,2.8,4.1,10.5,2500,2020,Global
US Renewable Energy Fund,Renewable Energy,5.1,4.3,6.2,16.8,1800,2021,North America
European Transport Fund,Transportation,2.9,3.1,3.5,9.8,3200,2019,Europe
Asia Pacific Utilities,Utilities,4.2,3.9,4.5,13.2,2100,2020,Asia Pacific
Digital Infrastructure Fund,Telecom/Digital,6.8,5.2,7.1,20.5,1500,2022,Global
Water Infrastructure Partners,Water/Waste,3.5,3.2,3.8,11.0,900,2021,North America
Energy Transition Fund,Energy Transition,4.9,5.5,6.8,18.3,2800,2021,Global
Smart Cities Infrastructure,Smart Cities,5.2,4.8,5.9,16.7,1200,2022,Developed Markets
Emerging Markets Infra Fund,Mixed Infrastructure,3.8,2.1,4.5,10.8,1600,2020,Emerging Markets
Social Infrastructure Fund,Social Infrastructure,2.5,2.8,3.1,8.6,750,2019,Europe
Green Energy Fund II,Renewable Energy,5.8,6.2,7.5,20.8,2200,2023,Global
Transport & Logistics Fund,Transportation,3.1,3.5,3.9,10.9,1900,2021,North America
Infrastructure Debt Fund,Infrastructure Debt,2.2,2.4,2.6,7.4,3500,2018,Global
Power Generation Fund,Power Generation,4.5,4.1,5.2,14.5,2600,2020,Asia Pacific
Sustainable Infrastructure,ESG Infrastructure,4.8,5.1,6.3,17.1,1700,2022,Global
